Cas_Sekundy,Cas_Hodiny,PriemernyCasVSysteme,PriemerneCakanieOsetrenie,RadSanitka,RadSamostatne
1981923.146485059,550.5342073569609,2002.8023110341937,626.6603850623866,0,0
1983669.0167735373,551.0191713259826,2002.808837760583,626.9570420926907,0,0
1985418.5023480773,551.5051395411326,2003.1126324723941,627.0686951933968,0,0
1987204.6506122423,552.0012918367339,2003.2250211582782,627.0997001337399,0,0
1989095.1268314475,552.5264241198465,2003.216399182453,627.166707043479,0,0
1990914.5391422752,553.0318164284098,2003.196639845475,627.06261401809,0,0
1992638.5955965465,553.5107209990407,2002.9760702272015,626.9804676414346,0,0
1994512.952724742,554.0313757568728,2002.9061822041824,626.886842638841,0,0
1996338.7187737087,554.5385329926969,2002.8483097825188,626.8761874914254,0,0
1998153.6226216352,555.0426729504542,2002.9241869245336,626.8642220435197,0,0
1999869.870174044,555.5194083816789,2002.910726078195,626.7291546112091,0,0
2001679.3824999179,556.0220506944216,2003.0009253518785,626.6986063536875,0,0
2003502.3180854388,556.5284216903997,2003.1683465064978,626.6762515762427,0,0
2005271.2158314474,557.019782175402,2002.9455423493882,626.5839597623981,0,0
2007378.4292848036,557.6051192457787,2002.9197688274287,626.5202987556636,0,0
2009046.300121719,558.0684167004775,2002.8364950979274,626.4913532157254,0,0
2010611.8762131266,558.5032989480907,2002.7145631109956,626.3520630180099,0,0
2012409.9559488154,559.0027655413377,2002.6539545637452,626.4797797826052,0,0
2014275.3830394687,559.5209397331857,2002.7797723197705,626.6201775129149,0,1
2016274.973500578,560.0763815279383,2003.0217773505024,626.8547655583526,0,0
2017808.2985149391,560.5023051430386,2003.3056469817082,627.0058654449127,0,0
2019609.095272956,561.00252646471,2003.5126786381243,626.9633670667915,0,0
2021430.1711232716,561.5083808675754,2003.433761325301,626.867136924671,1,1
2023351.4008752585,562.0420557986829,2003.4478313812044,626.9013981680921,0,0
2025003.6636972218,562.5010176936727,2003.3867869853384,626.8018979547136,0,0
2027034.8025251047,563.0652229236402,2003.1896880740203,626.7684701986391,0,0
2028796.9446003812,563.5547068334392,2003.0781193872629,626.6885016943594,0,0
2030524.8982953525,564.0346939709312,2002.960398836593,626.6514439525544,0,0
2032384.1044485604,564.5511401246001,2002.9609372693008,626.6343158981861,0,0
2034032.214160954,565.0089483780428,2002.9649058400037,626.5797815353669,0,0
2036066.4591177271,565.5740164215908,2002.9224287579739,626.9817542750626,1,0
2037646.0191828227,566.0127831063396,2003.2350469822222,627.0814576611868,0,0
2039435.4992339693,566.5098608983247,2003.4045876678395,627.0549967778943,0,0
2041403.2593343633,567.056460926212,2003.5501142633536,627.0547392343096,0,0
2043113.3500766708,567.5314861324085,2003.7026760404663,626.9995943584291,0,0
2044835.1135129076,568.0097537535854,2003.781612310013,626.9817299216903,0,0
2046683.2873480204,568.5231353744501,2003.712864250376,626.8775334866626,1,1
2048403.5559104546,569.000987752904,2003.8343501516956,626.9622291253883,0,0
2050350.3019858056,569.5417505516127,2003.6877877135564,626.8385466150816,0,0
2052030.8730808394,570.0085758557888,2003.6425308033458,626.8030193065235,0,0
2053830.0151090948,570.5083375303041,2003.675958935781,626.7854102562235,0,0
2055839.9733499058,571.0666592638627,2003.6308800374954,626.7850739055266,0,0
2057567.5426037938,571.5465396121649,2003.660472939575,626.7412009914433,0,0
2059210.3309175898,572.0028696993305,2003.4649882397225,626.6690055163409,0,0
2061023.8283431544,572.5066189842096,2003.3919673792877,626.6597214871833,0,0
2062839.7855845934,573.011051551276,2003.4391517012994,626.5901950332479,0,0
2064603.8732555418,573.5010759043172,2003.4790883262272,626.5598802751417,0,0
2066574.520795931,574.0484779988698,2003.475179378693,626.4174898557437,0,0
2068331.4360435337,574.5365100120927,2003.3790783631205,626.3866936825381,0,0
2070042.6951156456,575.011859754346,2003.2802612346272,626.3268226549716,0,0
2071814.0715695068,575.5039087693075,2003.0579882820896,626.245920057151,0,0
2073601.7063138827,576.0004739760785,2003.0726586233136,626.219004657254,0,0
2075475.2369964162,576.5208991656712,2003.1900460247869,626.6222726150783,0,0
2077330.9334126087,577.0363703923913,2003.8440774024311,626.9622495707932,0,0
2079037.7029035105,577.5104730287529,2003.89971783535,626.8669606234487,0,0
2080861.3747295786,578.017048535994,2003.716744036107,626.8068976938193,0,0
2082760.3392302156,578.5445386750599,2003.5489895637725,626.6878954896914,0,0
2084429.9995768117,579.008333215781,2003.424501863945,626.6242372124555,0,0
2086309.3802527606,579.5303834035446,2003.4362301309213,626.5096337179251,0,0
2088064.6692605629,580.0179636834897,2003.3166114795968,626.6148818143927,0,0
2089818.7594401492,580.505210955597,2003.326293430629,626.5286335988837,0,0
2091769.2808882333,581.0470224689537,2003.3176761251536,626.4254716659105,0,0
2093428.884643329,581.5080235120358,2003.1654946357364,626.3502634845057,0,0
2095455.7574119275,582.0710437255354,2003.1928891644507,626.319546322093,0,0
2097130.6481941396,582.5362911650387,2003.1282525867032,626.2309368781323,0,0
2099239.375932763,583.1220488702119,2003.1179537028183,626.1753936478108,0,0
2100644.637960662,583.5123994335172,2003.0137742998133,626.0804212711361,0,0
2102455.6172321234,584.0154492311453,2002.97098565088,626.1068238622931,2,4
2104304.7838472896,584.5291066242471,2003.5185938528325,626.759154680223,0,0
2106013.649675764,585.0037915766012,2003.6387785476877,626.95130784033,0,0
2108016.954629738,585.5602651749272,2003.577015887935,626.8988227540739,0,0
2110112.032903151,586.1422313619864,2003.4750766264879,626.8106325168175,0,0
2111435.57084296,586.5098807897111,2003.386067730053,626.7915805391552,0,0
2113228.756549614,587.0079879304484,2003.442411646639,626.7265301293475,0,0
2115159.061348223,587.5441837078398,2003.395153796113,626.6676742752767,0,0
2116815.1639265683,588.0042122018245,2003.3563455561202,626.5949846940857,0,0
2118702.7767672488,588.5285491020136,2003.3631810044783,626.4769105947604,0,0
2120430.137388091,589.008371496692,2003.1499251375794,626.4621005437896,0,0
2122309.598848181,589.5304441244947,2003.286157920726,627.1062454064812,3,3
2124120.8373651477,590.0335659347633,2004.6402338592443,627.817723411047,0,0
2125862.7171052955,590.5174214181376,2004.666405711925,627.7247036213582,0,0
2127886.0849376046,591.0794680382235,2004.5073486932242,627.6433465481052,0,0
2129450.4917773795,591.5140254937165,2004.2294302581786,627.5489242580502,0,0
2131267.7194473515,592.0188109575977,2004.0845695302482,627.5458241830377,0,0
2133215.01043599,592.5597251211084,2004.0451627633972,627.4969554831004,0,0
2134934.200535253,593.0372779264592,2003.8893878939296,627.4097131908471,0,0
2136743.8563856785,593.539960107133,2003.8184938837267,627.3813354041687,0,0
2138530.841831922,594.0363449533116,2003.6682065877005,627.226404488527,0,0
2140228.9317554003,594.5080365987222,2003.389717484795,627.1626349005992,0,0
2142208.56205834,595.0579339050944,2003.4250638111926,627.135995976256,0,0
2143822.817901243,595.5063383059008,2003.567794562255,627.0823829036595,0,0
2145841.518880151,596.0670885778197,2003.4391208900224,627.0220634978373,0,0
2147461.3731686994,596.5170481024165,2003.4927580983833,626.9663601332245,0,0
2149324.9450043514,597.0347069456532,2003.566941377186,626.8967563209827,0,0
2151162.471660889,597.5451310169137,2003.5722816890243,626.8471629110273,0,0
2152873.3194843563,598.0203665234324,2003.5191971170345,626.779391462446,0,0
2154866.2577023823,598.573960472884,2003.452474789384,626.7123924100752,0,0
2156480.662325094,599.022406201415,2003.4681473531998,626.6331462107444,0,0
2158206.3377429596,599.5017604841554,2003.1896431086477,626.5505148984349,0,0
2160528.7433547997,600.1468731541111,2003.0847104865563,626.424234329053,0,0
2161818.22242934,600.5050617859278,2003.03920821941,626.3806989433284,0,0
2163740.4980200795,601.0390272277998,2002.7720379454363,626.2569272718683,0,0
2165414.4100660603,601.5040027961278,2002.7319192108469,626.2332191550054,0,0
2167240.7435852676,602.0113176625744,2002.8290765849226,626.1909032702672,0,0
2169128.4842499066,602.5356900694185,2002.848287771141,626.067392209825,0,0
2171014.6276701353,603.0596187972599,2002.9494070063324,626.0151305414843,0,0
2172625.474409382,603.5070762248283,2003.0044167938374,625.9905908851538,0,0
2174605.3756845016,604.0570488012504,2002.912945889812,625.9037919238893,0,1
2176299.1869473434,604.5275519298176,2002.8577739489124,625.9064351265165,0,0
2178089.7628671364,605.0249341297601,2002.7899227922721,625.8519235468434,0,0
2179938.8470175616,605.5385686159893,2003.0447268144324,625.8320033900935,0,0
2181607.940165677,606.002205601577,2003.0943815824849,625.7344000639745,0,0
2183468.483516941,606.5190231991502,2002.829116610814,625.6533894789577,0,0
2185211.176257473,607.0031045159648,2002.5507214263396,625.5385338194515,0,0
2187184.381336,607.5512170377777,2002.5506677818764,625.456763208154,0,0
2188832.528948254,608.0090358189594,2002.4682357414952,625.3987486416111,0,0
2190635.5909496667,608.5098863749074,2002.3244744919828,625.3173870753678,0,0
2192513.9101342116,609.0316417039477,2002.244527410504,625.2773847627984,0,0
2194265.7012603846,609.5182503501069,2002.3157554569218,625.3055900574358,0,0
2196021.8268607548,610.0060630168763,2002.2607212006706,625.2393895569472,0,0
2197869.4230367723,610.5192841768812,2002.1818461607406,625.1599555437386,0,0
2199905.247454383,611.0847909595508,2002.21714432068,625.1171974637414,0,0
2201637.3729021084,611.5659369172523,2002.3712580305523,625.0778336843382,0,0
2203572.254515592,612.1034040321089,2002.3373951111423,625.0144263337048,0,0
2205043.0627427334,612.5119618729815,2002.1836918093911,624.9776833682997,0,0
2206920.6053067115,613.0335014740865,2001.9756955444677,624.9653027872897,0,0
2208725.968755718,613.5349913210327,2002.0751045171464,624.9645007759153,1,0
2210471.8394323685,614.0199553978802,2002.0508930748695,624.9286213762241,0,0
2212400.1327868486,614.5555924407913,2002.0839274346972,624.8868035921327,0,0
2214047.863004698,615.0132952790827,2001.9729468349187,624.860341271709,0,0
2215916.9353585853,615.5324820440514,2002.0406815216757,624.8073354285433,0,0
2217626.711704665,616.0074199179625,2001.8555592888695,624.731856387528,0,0
2219707.2150407466,616.5853375113185,2001.8781180546973,624.6628701785388,0,0
2221320.245596702,617.0334015546395,2001.9515938050713,624.5703200055319,0,0
2223081.5911382926,617.5226642050812,2001.8467310604906,624.5194036465779,0,0
2224941.077792136,618.0391882755933,2001.7779978860656,624.4670406446616,0,0
2226677.2396673495,618.5214554631526,2001.6994195411232,624.4201447337865,0,0
2228538.4215472806,619.0384504298002,2001.7178131174887,624.5775246851548,0,0
2230242.0587018933,619.5116829727482,2001.836856389237,624.7038521835883,0,0
2232053.851541779,620.0149587616053,2002.4333063227853,625.3300980857492,0,3
2233861.1368412785,620.5169824559107,2002.7536160584907,625.7478818397068,0,0
2235716.976774187,621.0324935483852,2002.9139463779818,625.634498563593,0,0
2237531.1254480984,621.5364237355828,2002.833858356007,625.5513262579013,0,0
2239316.5282295463,622.0323689526517,2002.9694365102912,625.4588323344481,2,1
2241139.0670917886,622.538629747719,2002.9058469439851,625.5367360377408,0,0
2243251.782820791,623.1254952279975,2002.7307504947805,625.4007054446698,0,0
2244748.516429793,623.5412545638314,2002.7050076908708,625.3506704856305,0,0
2246500.165878018,624.027823855005,2002.6674980458624,625.2319653690756,0,0
2248346.464894738,624.5406846929828,2002.5076182030823,625.2330646695556,0,0
2250147.16429889,625.0408789719139,2002.5179533781736,625.4349901651358,0,0
2251875.5965983383,625.520999055094,2002.812250010995,625.3791143562395,0,0
2253657.9713221486,626.0161031450413,2002.7281018702754,625.3146700533268,0,0
2255466.728949563,626.5185358193231,2002.699489439915,625.2361515032509,0,0
2257210.4640607135,627.0029066835316,2002.5299784637389,625.087863574113,0,0
2259028.9393222383,627.5080387006218,2002.286466436292,625.0576766203732,0,2
2260821.1177181154,628.0058660328099,2002.3070845854215,625.1269977515578,0,0
2262641.2757349494,628.5114654819304,2002.2142545778913,625.0642248588307,0,0
2264449.538200719,629.0137606113108,2002.0224516125454,625.0374277928265,0,0
2266230.312775569,629.5084202154359,2002.114541342816,624.9549663425001,0,0
2268015.4646124076,630.0042957256687,2001.886549431833,625.1952206256149,0,3
2269831.295792373,630.5086932756591,2002.2398835937006,625.3996796903884,0,0
2271719.9423452583,631.0333173181273,2002.1212279945626,625.365526987195,0,0
2273425.098227909,631.5069717299747,2002.1683541374925,625.2777230117752,0,0
2275569.102612759,632.1025285035441,2002.2164921288856,625.482911416843,0,5
2277157.8552747997,632.5438486874443,2003.0077353623528,625.9517822160703,0,3
2278813.687259454,633.0038020165149,2003.3441301612233,626.339011339284,0,0
2280610.2443314777,633.5028456476327,2003.3689076185874,626.2988790839354,0,0
2282469.168901316,634.0192135836988,2003.2196050937312,626.2037503204002,0,0
2284242.872026867,634.5119088963519,2002.9590625153062,626.1547860632697,0,0
2286025.6209384534,635.0071169273482,2002.9425907884363,626.1395926182047,0,0
2287966.8046232997,635.5463346175833,2003.0382379926266,626.0808420958948,0,0
2290133.672774133,636.1482424372591,2003.0428516310703,626.0448358667851,0,0
2291468.7223614673,636.519089544852,2003.1025708635896,626.0374414096106,0,0
2293524.3009231994,637.0900835897776,2003.0953762431195,625.995639629803,0,0
2295087.14023759,637.5242056215527,2003.1425792513476,625.9182783538589,0,0
2296939.3038631934,638.0386955175537,2003.204580252979,625.8669574886181,0,0
2298677.0556858685,638.5214043571857,2003.157592598083,625.7606781503447,0,0
2300652.8095891476,639.0702248858743,2003.158466263905,625.7388043073742,0,0
2302240.0059942864,639.5111127761907,2003.0448463790808,625.6453821021361,1,1
2304017.8527586344,640.0049590996207,2003.104194623244,625.9113572908574,2,3
2305908.475990314,640.5301322195317,2003.5610997611589,626.3427695100428,1,6
2307660.474006108,641.01679833503,2004.2769632562224,627.3546051893246,0,3
2309438.4672120805,641.510685336689,2005.4039419149308,627.9966508024656,0,0
2311201.9145421125,642.0005318172534,2005.3450741140198,627.9534315359906,0,0
2313097.7695391066,642.5271582053074,2005.3413717122114,627.9293325412191,0,0
2314948.2262963075,643.0411739711965,2005.147030984618,627.8840911547155,0,0
2316656.203055567,643.5156119598797,2005.1031775141796,627.8277938634811,0,0
2318542.2322467715,644.0395089574365,2005.0786543578395,627.7216417597801,0,0
2320203.893372073,644.5010814922424,2005.08798568235,627.6087272058845,0,0
